Course Code,Section,Credits,Title,Professor,Days,Start Time,End Time,Begin Date,End Date,Location,Building,Room,Comment,SOPHIA,Via Viking,Signature,Foundational Area or Knowledge Area,Comp 1,Comp 2
APBA 6270,A,3,Organizational Behavior Mgmt,Jason E. Dybsetter,,12:00 AM,12:00 AM,10/22/2026,12/11/2026,MAIN,OFF,ONLN,,,,,,,
APBA 6941,A,1,Fieldwork Experience I,Noelle Balsamo,,12:00 AM,12:00 AM,08/26/2026,10/14/2026,MAIN,OFF,ONLN,,,,,,,
APBA 6941,B,1,Fieldwork Experience I,Noelle Balsamo,,12:00 AM,12:00 AM,08/26/2026,10/14/2026,MAIN,OFF,ONLN,,,,,,,
APBA 6942,A,1,Fieldwork Experience II,Noelle Balsamo,,12:00 AM,12:00 AM,10/22/2026,12/11/2026,MAIN,OFF,ONLN,,,,,,,
APBA 6942,B,1,Fieldwork Experience II,Noelle Balsamo,,12:00 AM,12:00 AM,10/22/2026,12/11/2026,MAIN,OFF,ONLN,,,,,,,
APBA 6944,A,1,Fieldwork Experience IV,Noelle Balsamo,,12:00 AM,12:00 AM,08/26/2026,10/14/2026,MAIN,OFF,ONLN,,,,,,,
APBA 6944,B,1,Fieldwork Experience IV,Noelle Balsamo,,12:00 AM,12:00 AM,08/26/2026,10/14/2026,MAIN,OFF,ONLN,,,,,,,
APBA 6945,A,1,Fieldwork Experience V,Noelle Balsamo,,12:00 AM,12:00 AM,10/22/2026,12/11/2026,MAIN,OFF,ONLN,,,,,,,
APBA 6945,B,1,Fieldwork Experience V,Noelle Balsamo,,12:00 AM,12:00 AM,10/22/2026,12/11/2026,MAIN,OFF,ONLN,,,,,,,
APBA 6946,A,1,Fieldwork Experience VI,Augustana Staff,,12:00 AM,12:00 AM,08/26/2026,10/14/2026,MAIN,OFF,ONLN,,,,,,,
APBA 6946,B,1,Fieldwork Experience VI,Augustana Staff,,12:00 AM,12:00 AM,08/26/2026,10/14/2026,MAIN,OFF,ONLN,,,,,,,
APBA 6947,A,1,Fieldwork Experience VII,Augustana Staff,,12:00 AM,12:00 AM,10/22/2026,12/11/2026,MAIN,OFF,ONLN,,,,,,,
APBA 6947,B,1,Fieldwork Experience VII,Augustana Staff,,12:00 AM,12:00 AM,10/22/2026,12/11/2026,MAIN,OFF,ONLN,,,,,,,
ARTH 2130,A,3,Art Since 1945,Lindsay Twa,MWF,9:00 AM,9:50 AM,08/26/2026,12/11/2026,MAIN,HUM,123,,"US, W",Selective,,Reading the Human Record,Critical Reading,Written Communication
ARTS 1100,A,3,Drawing I,Augustana Staff,TR,2:00 PM,4:50 PM,08/26/2026,12/11/2026,MAIN,CVA,183,,A,Selective,,Engaging the Arts,Creative Thinking,
ARTS 1200,A,3,Design I: Two-Dimensional,Izia Lindsay,MWF,1:00 PM,2:50 PM,08/26/2026,12/11/2026,MAIN,CVA,182,,A,Selective,,Engaging the Arts,Creative Thinking,
ARTS 1300,A,3,Ceramics I,Molly Uravitch,MW,11:00 AM,1:50 PM,08/26/2026,12/11/2026,MAIN,CVA,191,,A,Selective,,Engaging the Arts,Creative Thinking,
ARTS 1300,B,3,Ceramics I,Molly Uravitch,TR,11:00 AM,1:50 PM,08/26/2026,12/11/2026,MAIN,CVA,191,,A,Selective,,Engaging the Arts,Creative Thinking,
ARTS 1400,A,3,Painting I,Augustana Staff,TR,2:00 PM,4:50 PM,08/26/2026,12/11/2026,MAIN,CVA,184,,A,Selective,,Engaging the Arts,Creative Thinking,
ARTS 1500,A,3,Sculpture I,John Henry Peters,TR,8:00 AM,10:50 AM,08/26/2026,12/11/2026,MAIN,CVA,189,,A,Selective,,Engaging the Arts,Creative Thinking,
ARTS 1600,A,3,Printmaking I,Chad Geoffrey Nelson,TR,5:30 PM,8:20 PM,08/26/2026,12/11/2026,MAIN,CVA,185,,A,Selective,,Engaging the Arts,Creative Thinking,
ARTS 1700,A,3,Photography I,Anna E Reich,,12:00 AM,12:00 AM,08/26/2026,12/11/2026,MAIN,OFF,,,A,Selective,,Engaging the Arts,Creative Thinking,Digital Literacy
ARTS 1800,A,3,Graphic Design I,Izia Lindsay,MWF,11:00 AM,12:50 PM,08/26/2026,12/11/2026,MAIN,CVA,181,,A,Selective,,Engaging the Arts,Creative Thinking,
ARTS 2100,A,3,Drawing II: Intermediate,Augustana Staff,TR,11:00 AM,1:50 PM,08/26/2026,12/11/2026,MAIN,CVA,183,,,,,,,
ARTS 2300,A,3,Ceramics II: Intermediate,Molly Uravitch,MW,5:00 PM,7:50 PM,08/26/2026,12/11/2026,MAIN,CVA,191,,,,,,,
ARTS 2400,A,3,Painting II: Intermediate,Augustana Staff,TR,2:00 PM,4:50 PM,08/26/2026,12/11/2026,MAIN,CVA,184,,,,,,,
ARTS 2500,A,3,Sculpture II: Intermediate,John Henry Peters,TR,8:00 AM,10:50 AM,08/26/2026,12/11/2026,MAIN,CVA,189,,,,,,,
ARTS 2600,A,3,Printmaking II,Chad Geoffrey Nelson,TR,5:30 PM,8:20 PM,08/26/2026,12/11/2026,MAIN,CVA,185,,,,,,,
ARTS 2700,A,3,Photography II,Anna E Reich,T,9:00 AM,10:50 AM,08/26/2026,12/11/2026,MAIN,OFF,,,,,,,,
ARTS 2800,A,3,Graphic Design II,Izia Lindsay,TR,11:00 AM,1:50 PM,08/26/2026,12/11/2026,MAIN,CVA,181,,,,,,,
ARTS 3100,A,3,Drawing III: Advanced,Augustana Staff,TR,11:00 AM,1:50 PM,08/26/2026,12/11/2026,MAIN,CVA,183,,,,,,,
ARTS 3150,A,3,Drawing IV: Adv Individual Study,Augustana Staff,TR,11:00 AM,1:50 PM,08/26/2026,12/11/2026,MAIN,CVA,183,,,,,,,
ARTS 3300,A,3,Ceramics III,Molly Uravitch,MW,5:00 PM,7:50 PM,08/26/2026,12/11/2026,MAIN,CVA,191,,,,,,,
ARTS 3350,A,3,Ceramics IV,Molly Uravitch,MW,5:00 PM,7:50 PM,08/26/2026,12/11/2026,MAIN,CVA,191,,,,,,,
ARTS 3400,A,3,Painting III: Advanced,Augustana Staff,TR,2:00 PM,4:50 PM,08/26/2026,12/11/2026,MAIN,CVA,184,,,,,,,
ARTS 3450,A,3,Painting IV: Adv Individ Study,Augustana Staff,TR,2:00 PM,4:50 PM,08/26/2026,12/11/2026,MAIN,CVA,184,,,,,,,
ARTS 3500,A,3,Sculpture III: Advanced,John Henry Peters,TR,8:00 AM,10:50 AM,08/26/2026,12/11/2026,MAIN,CVA,189,,,,,,,
ARTS 3550,A,3,Sculpture IV: Adv Individ Study,John Henry Peters,TR,8:00 AM,8:50 AM,08/26/2026,12/11/2026,MAIN,CVA,189,,,,,,,
ARTS 3600,A,3,Printmaking III,Chad Geoffrey Nelson,TR,5:30 PM,8:20 PM,08/26/2026,12/11/2026,MAIN,CVA,185,,,,,,,
ARTS 3650,A,3,Printmaking IV,Chad Geoffrey Nelson,TR,5:30 PM,8:20 PM,08/26/2026,12/11/2026,MAIN,CVA,185,,,,,,,
ARTS 3700,A,3,Photography III,Anna E Reich,T,9:00 AM,10:50 AM,08/26/2026,12/11/2026,MAIN,OFF,,,,,,,,
ARTS 3750,A,3,Photography IV,Anna E Reich,T,9:00 AM,10:50 AM,08/26/2026,12/11/2026,MAIN,OFF,,,,,,,,
ARTS 3800,A,3,Graphic Design III,Izia Lindsay,TR,11:00 AM,1:50 PM,08/26/2026,12/11/2026,MAIN,CVA,181,,,,,,,
ARTS 3850,A,3,Graphic Design IV,Izia Lindsay,TR,11:00 AM,1:50 PM,08/26/2026,12/11/2026,MAIN,CVA,181,,,,,,,
ARTS 4100,A,3,Drawing V: Adv Individual Study,Augustana Staff,TR,11:00 AM,1:50 PM,08/26/2026,12/11/2026,MAIN,CVA,183,,,,,,,
ARTS 4150,A,3,Drawing VI: Adv Individual Study,Augustana Staff,TR,11:00 AM,1:50 PM,08/26/2026,12/11/2026,MAIN,CVA,183,,,,,,,
ARTS 4300,A,3,Ceramics V,Molly Uravitch,MW,5:00 PM,7:50 PM,08/26/2026,12/11/2026,MAIN,CVA,191,,,,,,,
ARTS 4350,A,3,Ceramics VI,Molly Uravitch,MW,5:00 PM,7:50 PM,08/26/2026,12/11/2026,MAIN,CVA,191,,,,,,,
ARTS 4400,A,3,Painting V,Augustana Staff,TR,2:00 PM,4:50 PM,08/26/2026,12/11/2026,MAIN,CVA,184,,,,,,,
ARTS 4450,A,3,Painting VI,Augustana Staff,TR,2:00 PM,4:50 PM,08/26/2026,12/11/2026,MAIN,CVA,184,,,,,,,
ARTS 4500,A,3,Sculpture V,John Henry Peters,TR,8:00 AM,10:50 AM,08/26/2026,12/11/2026,MAIN,CVA,189,,,,,,,
ARTS 4550,A,3,Sculpture VI,John Henry Peters,TR,8:00 AM,10:50 AM,08/26/2026,12/11/2026,MAIN,CVA,189,,,,,,,
ARTS 4600,A,3,Printmaking V,Chad Geoffrey Nelson,TR,5:30 PM,8:20 PM,08/26/2026,12/11/2026,MAIN,CVA,185,,,,,,,
ARTS 4650,A,3,Printmaking VI,Chad Geoffrey Nelson,TR,5:30 PM,8:20 PM,08/26/2026,12/11/2026,MAIN,CVA,185,,,,,,,
ARTS 4700,A,3,Photography V,Anna E Reich,T,9:00 AM,10:50 AM,08/26/2026,12/11/2026,MAIN,OFF,,,,,,,,
ARTS 4750,A,3,Photobook,Anna E Reich,T,9:00 AM,10:50 AM,08/26/2026,12/11/2026,MAIN,OFF,,,,,,,,
